ID_Spec,Catalogue Number,AccName,TreeName2,Order,Family,Genus,SO,EF,SpeLab,DepthMin,DepthMax,DepthAve,IUCN,DepthCat3,Mov
'Narcine umbrosa NCat06.jpg',CAS-ICH 18246 (IU 00987),Narcine bancroftii ,Narcine_bancroftii,Torpediniformes,Narcinidae,Narcine,Bat,Extant,Narci_ban,0,35,17.5,LC,Shelf,AxUnd
'Narcine umbrosa USNMRAD 109932 001.jpg',USNM RAD 109932 ,Narcine bancroftii ,Narcine_bancroftii,Torpediniformes,Narcinidae,Narcine,Bat,Extant,Narci_ban,0,35,17.5,LC,Shelf,AxUnd
'Neotrygon kuhlii CAS-ICH 42161.jpg',CAS-ICH 42161,Neotrygon kuhlii ,Neotrygon_kuhlii,Myliobatiformes,Dasyatidae,Neotrygon,Bat,Extant,Neotr_kuh,0,170,85,DD,Reef,Undul
'Notoraja tobitukai USNMRAD 170475.jpg',USNM 170475 ,Notoraja tobitukai ,Notoraja_tobitukai,Rajiformes,Arhynchobatidae,Notoraja,Bat,Extant,Notor_tob,60,1015,537.5,LC,Deep,Undul
'Okamejei fusca MCZIchS 1240.jpg',MCZ Ichthyology S-1240,Okamejei kenojei ,Okamejei_kenojei,Rajiformes,Rajidae,Okamejei,Bat,Extant,Okame_ken,20,230,125,VU,Shelf,Undul
'Okamejei hollandi USNMRAD 148374.jpg',USNM 148374 ,Okamejei hollandi ,Okamejei_hollandi,Rajiformes,Rajidae,Okamejei,Bat,Extant,Okame_hol,67,87,77,VU,Shelf,Undul
'Orectolobus maculatus MCZIchS 972.jpg',MCZ Ichthyology S-972,Orectolobus maculatus,Orectolobus_maculatus,Orectolobiformes,Orectolobidae,Orectolobus,Sel,Extant,Orec_mac,0,248,124,LC,Reef,AxUnd
'Orectolobus maculatus USNMRAD 109810-001.jpg',USNM RAD 109810 ,Orectolobus maculatus,Orectolobus_maculatus,Orectolobiformes,Orectolobidae,Orectolobus,Sel,Extant,Orec_mac,0,248,124,LC,Reef,AxUnd
'Pastinachus ater AM.jpg',AM Ia.38,Pastinachus ater ,Pastinachus_atrus,Myliobatiformes,Dasyatidae,Pastinachus,Bat,Extant,Pasti_ate,0,60,30,VU,Reef,Undul
'Pastinachus sephen USNMRAD 110907-001.jpg',USNM RAD 110907 ,Pastinachus sephen ,Pastinachus_sephen,Myliobatiformes,Dasyatidae,Pastinachus,Bat,Extant,Pasti_sep,0,60,30,NT,Reef,Undul
'Pastinachus sephen USNMRAD 205138.jpg',USNM 205138 ,Pastinachus sephen ,Pastinachus_sephen,Myliobatiformes,Dasyatidae,Pastinachus,Bat,Extant,Pasti_sep,0,60,30,NT,Reef,Undul
'Platyrhina exasperata MCZIch 36022.jpg',MCZ Ichthyology 36022,Zapteryx exasperata ,Zapteryx_exasperata,Rhinopristiformes,Trygonorrhinidae ,Zapteryx,Bat,Extant,Zapte_exa,1,200,100.5,DD,Reef,Undul
'Platyrhina exasperata MCZIch 36022_2.jpg',MCZ Ichthyology 36022,Zapteryx exasperata ,Zapteryx_exasperata,Rhinopristiformes,Trygonorrhinidae ,Zapteryx,Bat,Extant,Zapte_exa,1,200,100.5,DD,Reef,Undul
'Platyrhina exasperata USNMRAD 109875001-A.jpg',USNM RAD 109875 ,Zapteryx exasperata ,Zapteryx_exasperata,Rhinopristiformes,Trygonorrhinidae ,Zapteryx,Bat,Extant,Zapte_exa,1,200,100.5,DD,Reef,Undul
'Platyrhina exasperata USNMRAD 109875001-B.jpg',USNM RAD 109875 ,Zapteryx exasperata ,Zapteryx_exasperata,Rhinopristiformes,Trygonorrhinidae ,Zapteryx,Bat,Extant,Zapte_exa,1,200,100.5,DD,Reef,Undul
'Platyrhina exasperata USNMRAD 109875001-C.jpg',USNM RAD 109875 ,Zapteryx exasperata ,Zapteryx_exasperata,Rhinopristiformes,Trygonorrhinidae ,Zapteryx,Bat,Extant,Zapte_exa,1,200,100.5,DD,Reef,Undul
'Platyrhina sinensis MNHN 0000-1307.jpg',MNHN-IC-0000-1307 ,Platyrhina sinensis ,Platyrhina_sinensis,Torpediniformes,Platyrhinidae,Platyrhina,Bat,Extant,Platy_sin,30,100,65,EN,Shelf,Undul
'Platyrhinodisi triseriata CAS-ICH 59621.jpg',CAS-ICH 59621,Platyrhinoidis triseriata ,Platyrhinoidis_triseriata,Torpediniformes,Platyrhinidae,Platyrhinoidis,Bat,Extant,Pidis_tri,0,137,68.5,LC,Shelf,Undul
'Platyrhinoidis sp NCat07.JPG',MNHN 4329 ,Platyrhinoidis triseriata ,Platyrhinoidis_triseriata,Torpediniformes,Platyrhinidae,Platyrhinoidis,Bat,Extant,Pidis_tri,0,137,68.5,LC,Shelf,Undul
